File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,451M, Num_Chunks:9,28.3415
,476M, Num_Chunks:8,35.4968
,476M, Num_Chunks:8,25.2548
,451M, Num_Chunks:9,38.8726
,476M, Num_Chunks:8,32.4331
,451M, Num_Chunks:9,25.9885
,476M, Num_Chunks:8,23.9424
,451M, Num_Chunks:9,29.5902
,451M, Num_Chunks:9,24.0196
,476M, Num_Chunks:8,29.6762
,451M, Num_Chunks:9,27.8795
,477M, Num_Chunks:8,39.1697
,451M, Num_Chunks:9,27.9988
,477M, Num_Chunks:8,28.3185
,452M, Num_Chunks:9,25.5075
,477M, Num_Chunks:8,32.5543
,452M, Num_Chunks:9,24.3805
,477M, Num_Chunks:8,27.2022
,452M, Num_Chunks:9,27.7607
,477M, Num_Chunks:8,25.9337
,452M, Num_Chunks:9,25.8262
,452M, Num_Chunks:9,26.6752
,477M, Num_Chunks:8,32.8744
,452M, Num_Chunks:9,29.6224
,477M, Num_Chunks:8,42.9912
,452M, Num_Chunks:9,29.8295
,477M, Num_Chunks:8,28.8327
,452M, Num_Chunks:9,29.3613
,477M, Num_Chunks:8,31.5085
,452M, Num_Chunks:9,26.8296
,477M, Num_Chunks:8,29.5691
,452M, Num_Chunks:9,24.8877
,478M, Num_Chunks:8,31.0244
,453M, Num_Chunks:9,25.4216
,453M, Num_Chunks:9,22.3428
,478M, Num_Chunks:8,30.2083
,453M, Num_Chunks:9,32.3205
,478M, Num_Chunks:8,26.5034
,453M, Num_Chunks:9,27.3342
,478M, Num_Chunks:8,45.6703
,453M, Num_Chunks:9,25.6848
,478M, Num_Chunks:8,30.9597
,453M, Num_Chunks:9,30.9146
,478M, Num_Chunks:8,28.6392
,453M, Num_Chunks:9,32.2877
,478M, Num_Chunks:8,29.3283
,453M, Num_Chunks:9,24.7834
,478M, Num_Chunks:8,31.0250
,453M, Num_Chunks:9,31.1598
,478M, Num_Chunks:8,27.0498
,453M, Num_Chunks:9,27.0515
,454M, Num_Chunks:9,27.0900
,478M, Num_Chunks:8,33.6341
,454M, Num_Chunks:9,27.2018
,479M, Num_Chunks:8,33.4978
,454M, Num_Chunks:9,28.2573
,479M, Num_Chunks:8,28.3281
,454M, Num_Chunks:9,24.8592
,479M, Num_Chunks:8,27.3071
,454M, Num_Chunks:9,27.2780
,479M, Num_Chunks:8,26.9822
,454M, Num_Chunks:9,26.1282
,479M, Num_Chunks:8,30.2585
,454M, Num_Chunks:9,29.8047
,479M, Num_Chunks:8,32.5726
,454M, Num_Chunks:9,32.8739
,454M, Num_Chunks:9,26.6979
,479M, Num_Chunks:8,52.3346
,479M, Num_Chunks:8,26.7683
,454M, Num_Chunks:9,41.4121
,455M, Num_Chunks:9,21.7693
,479M, Num_Chunks:8,37.3483
,455M, Num_Chunks:9,27.9108
,479M, Num_Chunks:8,26.1500
,480M, Num_Chunks:8,26.3003
,455M, Num_Chunks:9,33.7177
,480M, Num_Chunks:8,31.0415
,455M, Num_Chunks:9,31.0393
,480M, Num_Chunks:8,28.9575
,455M, Num_Chunks:9,38.3931
,480M, Num_Chunks:8,33.7417
,455M, Num_Chunks:9,31.6953
,480M, Num_Chunks:8,35.4776
,455M, Num_Chunks:9,28.0802
,480M, Num_Chunks:8,31.0147
,455M, Num_Chunks:9,41.0588
,455M, Num_Chunks:9,24.8370
,480M, Num_Chunks:8,52.4833
,455M, Num_Chunks:9,26.9874
,480M, Num_Chunks:8,30.1353
,456M, Num_Chunks:8,27.6466
,456M, Num_Chunks:8,30.5502
,480M, Num_Chunks:8,37.4702
,456M, Num_Chunks:8,30.1450
,480M, Num_Chunks:8,36.0203
,456M, Num_Chunks:8,32.7919
,481M, Num_Chunks:8,32.8960
,456M, Num_Chunks:8,26.4874
,481M, Num_Chunks:8,27.6773
,456M, Num_Chunks:8,35.6475
,481M, Num_Chunks:8,28.4900
,481M, Num_Chunks:8,28.7307
,456M, Num_Chunks:8,43.1253
,481M, Num_Chunks:8,33.0049
,456M, Num_Chunks:8,26.5672
,481M, Num_Chunks:8,26.3163
,456M, Num_Chunks:8,38.5943
,481M, Num_Chunks:8,27.3754
,456M, Num_Chunks:8,27.5718
,481M, Num_Chunks:8,27.7412
,481M, Num_Chunks:8,26.4597
,457M, Num_Chunks:8,33.8251
,481M, Num_Chunks:8,34.5064
,457M, Num_Chunks:8,41.1224
,482M, Num_Chunks:8,27.7674
,457M, Num_Chunks:8,31.8372
,457M, Num_Chunks:8,25.8777
,482M, Num_Chunks:8,36.6003
,457M, Num_Chunks:8,24.3561
,482M, Num_Chunks:8,27.2090
,457M, Num_Chunks:8,30.1693
,482M, Num_Chunks:8,27.3420
,457M, Num_Chunks:8,28.5908
,482M, Num_Chunks:8,33.4953
,457M, Num_Chunks:8,28.2612
,482M, Num_Chunks:8,25.6004
,482M, Num_Chunks:8,28.8852
,457M, Num_Chunks:8,39.0481
,482M, Num_Chunks:8,28.7984
,457M, Num_Chunks:8,26.6639
,482M, Num_Chunks:8,27.5779
,458M, Num_Chunks:8,28.0292
,482M, Num_Chunks:8,33.7233
,458M, Num_Chunks:8,27.5410
,483M, Num_Chunks:8,26.9892
,458M, Num_Chunks:8,33.3169
,483M, Num_Chunks:8,32.6350
,458M, Num_Chunks:8,46.7406
,483M, Num_Chunks:8,27.7896
,458M, Num_Chunks:8,24.7181
,483M, Num_Chunks:8,31.5313
,458M, Num_Chunks:8,27.2528
,483M, Num_Chunks:8,26.8360
,458M, Num_Chunks:8,28.6294
,483M, Num_Chunks:8,30.7088
,458M, Num_Chunks:8,34.3594
,483M, Num_Chunks:8,29.3642
,483M, Num_Chunks:8,23.1731
,458M, Num_Chunks:8,34.0506
,458M, Num_Chunks:8,41.1926
,483M, Num_Chunks:8,41.2388
,483M, Num_Chunks:8,34.5468
,459M, Num_Chunks:8,40.6874
,484M, Num_Chunks:8,31.5263
,459M, Num_Chunks:8,25.4180
,484M, Num_Chunks:8,28.2058
,459M, Num_Chunks:8,28.1953
,484M, Num_Chunks:8,31.6515
,459M, Num_Chunks:8,42.7513
,484M, Num_Chunks:8,30.2989
,459M, Num_Chunks:8,26.8354
,459M, Num_Chunks:8,23.5980
,484M, Num_Chunks:8,43.2502
,459M, Num_Chunks:8,35.9054
,484M, Num_Chunks:8,35.5626
,459M, Num_Chunks:8,26.1657
,484M, Num_Chunks:8,31.9291
,459M, Num_Chunks:8,28.6923
,484M, Num_Chunks:8,32.7287
,459M, Num_Chunks:8,28.1500
,484M, Num_Chunks:8,29.2680
,460M, Num_Chunks:8,49.7365
,484M, Num_Chunks:8,27.1643
,485M, Num_Chunks:8,27.9041
,460M, Num_Chunks:8,43.0974
,460M, Num_Chunks:8,26.3481
,485M, Num_Chunks:8,41.5361
,460M, Num_Chunks:8,24.3526
